v8-version,8,4,371,23,-node.84,0
code-creation,Builtin,3,6560,0x7ff6e82d18a0,12,BigIntConstructor
code-creation,Builtin,3,6575,0x7ff6e82d18c0,12,BigIntAsUintN
code-creation,Builtin,3,6589,0x7ff6e82d18e0,12,BigIntAsIntN
code-creation,Builtin,3,6603,0x7ff6e82d1900,12,BigIntPrototypeToLocaleString
code-creation,Builtin,3,6619,0x7ff6e82d1920,12,BigIntPrototypeToString
code-creation,Builtin,3,6633,0x7ff6e82d1940,12,BigIntPrototypeValueOf
code-creation,Builtin,3,6648,0x7ff6e82d1960,12,CallSitePrototypeGetColumnNumber
code-creation,Builtin,3,6664,0x7ff6e82d1980,12,CallSitePrototypeGetEnclosingColumnNumber
code-creation,Builtin,3,6680,0x7ff6e82d19a0,12,CallSitePrototypeGetEnclosingLineNumber
code-creation,Builtin,3,6697,0x7ff6e82d19c0,12,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,3,6714,0x7ff6e82d19e0,12,CallSitePrototypeGetFileName
code-creation,Builtin,3,6729,0x7ff6e82d1a00,12,CallSitePrototypeGetFunction
code-creation,Builtin,3,6745,0x7ff6e82d1a20,12,CallSitePrototypeGetFunctionName
code-creation,Builtin,3,6760,0x7ff6e82d1a40,12,CallSitePrototypeGetLineNumber
code-creation,Builtin,3,6775,0x7ff6e82d1a60,12,CallSitePrototypeGetMethodName
code-creation,Builtin,3,6791,0x7ff6e82d1a80,12,CallSitePrototypeGetPosition
code-creation,Builtin,3,6806,0x7ff6e82d1aa0,12,CallSitePrototypeGetPromiseIndex
code-creation,Builtin,3,6821,0x7ff6e82d1ac0,12,CallSitePrototypeGetScriptNameOrSourceURL
code-creation,Builtin,3,6837,0x7ff6e82d1ae0,12,CallSitePrototypeGetThis
code-creation,Builtin,3,6852,0x7ff6e82d1b00,12,CallSitePrototypeGetTypeName
code-creation,Builtin,3,6867,0x7ff6e82d1b20,12,CallSitePrototypeIsAsync
code-creation,Builtin,3,6882,0x7ff6e82d1b40,12,CallSitePrototypeIsConstructor
code-creation,Builtin,3,6897,0x7ff6e82d1b60,12,CallSitePrototypeIsEval
code-creation,Builtin,3,6912,0x7ff6e82d1b80,12,CallSitePrototypeIsNative
code-creation,Builtin,3,6927,0x7ff6e82d1ba0,12,CallSitePrototypeIsPromiseAll
code-creation,Builtin,3,6942,0x7ff6e82d1bc0,12,CallSitePrototypeIsToplevel
code-creation,Builtin,3,6957,0x7ff6e82d1be0,12,CallSitePrototypeToString
code-creation,Builtin,3,6972,0x7ff6e82d1c00,12,ConsoleDebug
code-creation,Builtin,3,6986,0x7ff6e82d1c20,12,ConsoleError
code-creation,Builtin,3,7000,0x7ff6e82d1c40,12,ConsoleInfo
code-creation,Builtin,3,7014,0x7ff6e82d1c60,12,ConsoleLog
code-creation,Builtin,3,7028,0x7ff6e82d1c80,12,ConsoleWarn
code-creation,Builtin,3,7042,0x7ff6e82d1ca0,12,ConsoleDir
code-creation,Builtin,3,7058,0x7ff6e82d1cc0,12,ConsoleDirXml
code-creation,Builtin,3,7072,0x7ff6e82d1ce0,12,ConsoleTable
code-creation,Builtin,3,7087,0x7ff6e82d1d00,12,ConsoleTrace
code-creation,Builtin,3,7101,0x7ff6e82d1d20,12,ConsoleGroup
code-creation,Builtin,3,7117,0x7ff6e82d1d40,12,ConsoleGroupCollapsed
code-creation,Builtin,3,7134,0x7ff6e82d1d60,12,ConsoleGroupEnd
code-creation,Builtin,3,7148,0x7ff6e82d1d80,12,ConsoleClear
code-creation,Builtin,3,7162,0x7ff6e82d1da0,12,ConsoleCount
code-creation,Builtin,3,7176,0x7ff6e82d1dc0,12,ConsoleCountReset
code-creation,Builtin,3,7191,0x7ff6e82d1de0,12,ConsoleAssert
code-creation,Builtin,3,7205,0x7ff6e82d1e00,12,ConsoleProfile
code-creation,Builtin,3,7219,0x7ff6e82d1e20,12,ConsoleProfileEnd
code-creation,Builtin,3,7238,0x7ff6e82d1e40,12,ConsoleTime
code-creation,Builtin,3,7252,0x7ff6e82d1e60,12,ConsoleTimeLog
code-creation,Builtin,3,7267,0x7ff6e82d1e80,12,ConsoleTimeEnd
code-creation,Builtin,3,7281,0x7ff6e82d1ea0,12,ConsoleTimeStamp
code-creation,Builtin,3,7295,0x7ff6e82d1ec0,12,ConsoleContext
code-creation,Builtin,3,7310,0x7ff6e82d1ee0,12,DataViewConstructor
code-creation,Builtin,3,7324,0x7ff6e82d1f00,12,DateConstructor
code-creation,Builtin,3,7339,0x7ff6e82d1f20,230,DatePrototypeGetDate
code-creation,Builtin,3,7353,0x7ff6e82d2020,230,DatePrototypeGetDay
code-creation,Builtin,3,7368,0x7ff6e82d2120,230,DatePrototypeGetFullYear
code-creation,Builtin,3,7383,0x7ff6e82d2220,230,DatePrototypeGetHours
code-creation,Builtin,3,7398,0x7ff6e82d2320,206,DatePrototypeGetMilliseconds
code-creation,Builtin,3,7413,0x7ff6e82d2400,230,DatePrototypeGetMinutes
code-creation,Builtin,3,7428,0x7ff6e82d2500,230,DatePrototypeGetMonth
code-creation,Builtin,3,7442,0x7ff6e82d2600,230,DatePrototypeGetSeconds
code-creation,Builtin,3,7457,0x7ff6e82d2700,142,DatePrototypeGetTime
code-creation,Builtin,3,7472,0x7ff6e82d27a0,206,DatePrototypeGetTimezoneOffset
code-creation,Builtin,3,7487,0x7ff6e82d2880,206,DatePrototypeGetUTCDate
code-creation,Builtin,3,7502,0x7ff6e82d2960,206,DatePrototypeGetUTCDay
code-creation,Builtin,3,7517,0x7ff6e82d2a40,206,DatePrototypeGetUTCFullYear
code-creation,Builtin,3,7532,0x7ff6e82d2b20,206,DatePrototypeGetUTCHours
code-creation,Builtin,3,7547,0x7ff6e82d2c00,206,DatePrototypeGetUTCMilliseconds
code-creation,Builtin,3,7562,0x7ff6e82d2ce0,206,DatePrototypeGetUTCMinutes
code-creation,Builtin,3,7579,0x7ff6e82d2dc0,206,DatePrototypeGetUTCMonth
code-creation,Builtin,3,7595,0x7ff6e82d2ea0,206,DatePrototypeGetUTCSeconds
code-creation,Builtin,3,7610,0x7ff6e82d2f80,142,DatePrototypeValueOf
code-creation,Builtin,3,7625,0x7ff6e82d3020,460,DatePrototypeToPrimitive
code-creation,Builtin,3,7640,0x7ff6e82d3200,12,DatePrototypeGetYear
code-creation,Builtin,3,7656,0x7ff6e82d3220,12,DatePrototypeSetYear
code-creation,Builtin,3,7671,0x7ff6e82d3240,12,DateNow
code-creation,Builtin,3,7685,0x7ff6e82d3260,12,DateParse
code-creation,Builtin,3,7699,0x7ff6e82d3280,12,DatePrototypeSetDate
code-creation,Builtin,3,7713,0x7ff6e82d32a0,12,DatePrototypeSetFullYear
